Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Bipolar,"Mc Davi,Mc Pedrinho,Mc Don Juan,DJ 900",0.601,0.36,0.0877,0.586,0.0,0.0882,0.335
O Grave Bater,MC Kevinho,0.913,0.742,0.0562,0.461,5.19e-05,0.0553,0.805
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),"Anitta,ZAAC,Maejor,Tropkillaz,DJ Yuri Martins",0.876,0.55,0.152,0.0227,4.52e-05,0.294,0.557
Paradinha,Anitta,0.695,0.775,0.0887,0.0117,0.191,0.0702,0.869
Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),"Nego do Borel,Anitta,Wesley Safadão",0.854,0.682,0.069,0.374,0.0,0.0697,0.887
Olha a Explosão,"MC Kevinho,Wesley Safadão",0.68,0.944,0.0498,0.387,0.0,0.0983,0.961
Escorpião,"Xamã,Bagua Records,Agnes Nunes,Neo Beats",0.79,0.464,0.189,0.438,0.0,0.116,0.362
Ô Moça,MC Zaquin,0.84,0.495,0.0797,0.481,0.0,0.0853,0.527
Fazer Falta,Mc Livinho,0.532,0.467,0.117,0.0133,2.91e-06,0.226,0.249
Encaixa,"MC Kevinho,Léo Santana",0.67,0.789,0.286,0.351,0.0,0.121,0.866
Tumbalatum,MC Kevinho,0.969,0.752,0.271,0.59,4.33e-06,0.0608,0.872
777-666,Matuê,0.544,0.802,0.326,0.0534,0.0,0.139,0.322
Quer Voar,Matuê,0.806,0.595,0.246,0.138,0.0,0.0882,0.677
Sorvete de Ovomaltine,Magyn,0.819,0.614,0.0436,0.662,2.99e-05,0.355,0.835
A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo,Bielzin,Mainstreet,MC Cabelinho,PL Quest,Neo Beats",0.623,0.656,0.229,0.288,0.0,0.105,0.576
M4,"Teto,Matuê",0.88,0.59,0.204,0.08,0.0,0.184,0.723
"Leans, Pt. 2","Yunk Vino,Volp",0.366,0.244,0.0417,0.662,0.0,0.082,0.389
Chama Neném,MC Kevinho,0.856,0.545,0.047,0.121,0.0,0.107,0.527
"Revoada do Tubarão 2 (feat. Mc Davi, Mc PP da VS, Mc Pedrinho, Mc Dricka, Mc Lbx, Mc Kevin, Salvador Da Rima, Ferrugem, MC Kevinho, Gaab)","MC Ryan SP,Mc Don Juan,MC Hariel,Ferrugem,Gaab,MC Kevinho,Mc Davi,Mc Dricka,Mc Kevin,Mc Lbx,Mc PP da VS,Mc Pedrinho,Salvador Da Rima",0.829,0.767,0.0892,0.167,0.0,0.322,0.643
Manha,Teto,0.913,0.609,0.0948,0.0193,0.0,0.0974,0.842
Drip da Roça,"Reid,Doode,Teto,Ear Kid,Stef,Fabin",0.857,0.349,0.29,0.181,0.0,0.115,0.518
Saturno,"Burn-O, Doode, Teto",0.864,0.434,0.0513,0.0404,0.0,0.0791,0.741
Love Love,Gilsons,0.699,0.5,0.0726,0.558,0.0,0.2,0.266
