title,artist,song,similar_lyrics,similar_track,similar_artist
Pretty Girl,NB Ridaz,Pretty Girl by NB Ridaz,"14 ContributorsSummer Nights Lyrics[Intro]
I'm feelin' good (Feelin' alright tonight)
I'm feelin' good now (Yeah)
It's all good in the neighborhood, holmes, haha, yeah
Lil Rob
I feel good, I feel alright
Cruisin' through my neighborhood on a warm summer night
I feel good, that's right
I feel good now (Somethin' about these summer nights)

[Chorus]
(Woah) Summer days just sittin' around
But when the sun goes down
I'll be ready to party (Woah, hey)
Ain't nothin' like them summer nights
Keep the top on drop, all the girls lookin' hot
Hit the bolo and we just don't stop
Party until the mornin' light (Woah)
Ain't nothin' like them summer nights

[Verse 1]
I just kicked it at home, I polished up the chrome
Called the ruca on the phone, let her know I'm home alone
It's 7:30 and the sun's goin' down
It's a summer night and the fun's goin' down
I pick her up and she looks all dolled up (She look good)
Sittin' passenger in my rag Impala (Yeah)
I let her know that she looks beautiful to me
The world's an ugly place, but she is such a sight to see
The kind of woman that would put up a fight for me
The kind that wants to spend her summer nights with me
The temp was eighty and I'm cruisin' with my lady
Playin' some Ralfi Pagan, ooh, baby, baby
I see my homeboys and they're cruisin' in their ride (Hey, wassup holmes?)
With their ladies sittin' by their side
People think we look crazy, but I think we look classy
But then again, that's only if you ask me


[Chorus]
(Woah) Summer days just sittin' around
But when the sun goes down
I'll be ready to party (Woah, hey)
Ain't nothin' like them summer nights
Keep the top on drop, all the girls lookin' hot
Hit the bolo and we just don't stop
Party until the mornin' light (Woah)
Ain't nothin' like them summer nights

[Verse 2]
My homeboys throwin' a backyard boogie, so everybody
Gets together to unwind, relax and have a fun time
The DJ's spinnin', so I grab the mic and be like
""Ain't nothin' like them summer nights""
The party's packed with beautiful women
And the gang of the homies that wanna get with 'em
And they'll say anything just to hit 'em
And it's usually a nice summer night when they did 'em
I don't know, it must be something in the air
Can't help but have a good time because the feelin' is there
To some people, the feelin' is rare
They're at the pad sayin', ""God damn, I wish I was there""
To have a drink, have a toke and hook up
With someone fine, but the kind that looks up
Gotta keep some pisto in the cup
Party until the sun comes up or we give up


[Chorus]
(Woah) Summer days just sittin' around
But when the sun goes down
I'll be ready to party (Woah, hey)
Ain't nothin' like them summer nights
Keep the top on drop, all the girls lookin' hot
Hit the bolo and we just don't stop
Party until the mornin' light (Woah)
Ain't nothin' like them summer nights

[Verse 3]
Them summer nights can keep a smile on your face
Gotta try to have a good time with this life, otherwise it's just a waste
Either way, I'm gonna party just in case
Like Prince partied like it was '99 in '87, '88
I couldn't ask for no better weather
I'm right next to the Pacific, to be specific
The candy paint job glows under the moonlight
As I close out my summer night and say goodnight
It's time to put the top up and park it
Drop it, unplug the ground, roll up the windows and lock it
Walk in the pad and fall into bed
As she lays on my chest to rest her sleepy head
And we do this all night long, from dusk 'til dawn
But it's not quite the same when summer nights are gone
But even when they're gone, it won't be long
Eight more months, then once again it's on


[Chorus]
(Woah) Summer days just sittin' around
But when the sun goes down
I'll be ready to party (Woah, hey)
Ain't nothin' like them summer nights
Keep the top on drop, all the girls lookin' hot
Hit the bolo and we just don't stop
Party until the mornin' light (Woah)
Ain't nothin' like them summer nights

[Outro]
Fingazz on the track",Summer Nights,Lil Rob
Take A Bow,Rihanna,Take A Bow by Rihanna,"29 ContributorsHate That I Love You Lyrics[Intro: Rihanna & Ne-Yo]
Yeah, yeah
Hey, yeah, huh
That's how much I love you (Yeah; No, whoa, whoa, huh)
That's how much I need you (Yeah, yeah, yeah)

[Verse 1: Rihanna & Ne-Yo, Both]
And I can't stand you
Must everything you do make me wanna smile (Uh)
Can I not like you for a while? (No)
But you won't let me
You upset me, girl, and then you kiss my lips
All of a sudden, I forget (That I was upset)
I can't remember what you did
But I hate it...
You know exactly what to do
So that I can't stay mad at you
For too long, that's wrong
But I hate it
You know exactly how to touch
So that I don't wanna fuss and fight no more
Said I despise that I adore you

[Chorus: Rihanna & Ne-Yo]
And I hate how much I love you, boy (Yeah)
I can't stand how much I need you (I need you)
And I hate how much I love you, boy (Yeah, ooh whoa)
But I just can't let you go
And I hate that I love you so


[Verse 2: Ne-Yo & Rihanna, Both]
Ooh, and you completely know the power that you have (The power that you have)
The only one that makes me laugh (One that makes me laugh)
Said that it's not fair
How you take advantage of the fact
That I... (I)
Love you beyond the reason why (Why)
And it just ain't right, oh

[Chorus: Ne-Yo & Rihanna]
And I hate how much I love you, girl (Hey)
I can't stand how much I need you (Hey, hey)
And I hate how much I love you, girl (No)
But I just can't let you go (Ooh)
But I hate that I love you so

[Bridge: Rihanna & Ne-Yo, Both]
One of these days, maybe your magic won't affect me (Hmm)
And your kiss won't make me weak
But no one in this world knows me the way you know me
So you'll probably always have a spell on me
Yeah...
Ooh, oh, oh
Yeah, yeah, yeah, yeah, yeah, yeah

[Chorus: Rihanna & Ne-Yo, Both]
That's how much I love you (How much I need you)
That's how much I need you (How much I love you)
That's how much I love you (Oh, I need you)
That's how much I need you (I need you)
And I hate that I love you so
And I hate how much I love you, boy (Hey!)
I can't stand how much I need you (Can't stand how much I need you)
And I hate how much I love you, boy (Girl)
But I just can't let you go (But I just can't let you go, no)
But I hate that I love you so (Ooh)
And I hate that I love you so, so",Hate That I Love You,Rihanna
Man Down,Rihanna,Man Down by Rihanna,"21 ContributorsTranslationsEspañolComplicated Lyrics[Refrain]
You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no

[Chorus]
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I
Will throw my hands up 'cause, baby, I tried
But everything with you is so complicated
Oh, why?

[Verse 1]
Sometimes, I get you
Sometimes, I don't understand
Sometimes, I love you
Sometimes, it's you I can't stand
Sometimes, I wanna hug you
Sometimes, I wanna push you away
Most times, I wanna kiss you
Other times, punch you in the face
'Cause every minute, you start switching up
And you say things like you don't give a fuck
Then I say I'm through with you, take my heart from you
And you come running after me, and baby, I'm back with you, oh


[Refrain]
You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no

[Chorus]
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I
Will throw my hands up 'cause, baby, I tried
But everything with you is so complicated
Oh, why?

[Verse 2]
Sometimes, I catch you
Sometimes, you get away
Sometimes, I read you
Other times, I'm like, ""Where are you on the page?""
Sometimes, I feel like we will be together forever
But you're so complicated, my heart knows better

[Chorus]
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I
Will throw my hands up 'cause, baby, I tried
But everything with you is so complicated
Oh, why?


[Bridge]
I'ma stick around just a little while longer
Just to make sure that you're really sure
You like sleeping alone
I'ma stick around just a little while longer
Just to make sure that you're really sure
You like sleeping alone

[Chorus]
Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I
Will throw my hands up 'cause, baby, I tried
But everything with you is so complicated
Oh, why?

[Refrain]
You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no",Complicated,Rihanna
Obsessed,Mariah Carey,Obsessed by Mariah Carey,"53 ContributorsTouch My Body Lyrics[Intro: Mariah Carey & The-Dream]
MC
Uh, uh, uh, in the place to be
Oh yeah, oh yeah, oh yeah, oh yeah, oh yeah
Oh yeah, oh yeah, oh yeah, oh yeah

[Verse 1]
I know that you been waiting for it, I'm waiting too
In my imagination, I be all up on you
I know you got that fever for me, hundred and two
And, boy, I know I feel the same, my temperature's through the roof

[Pre-Chorus]
If there's a camera up in here
Then it's gon' leave with me when I do, I do
If there's a camera up in here
Then I best not catch this flick on YouTube, YouTube
'Cause if you run your mouth and brag about this secret rendezvous
I will hunt you down
'Cause they be all up in my business like a Wendy interview
But this is private, 'tween you and I

[Chorus]
Touch my body, put me on the floor
Wrestle me around, play with me some more
Touch my body, throw me on the bed
I just wanna make you feel like you never did
Touch my body, let me wrap my thighs
All around your waist, just a little taste
Touch my body, know you like my curves
Come on and give me what I deserve
And touch my body


[Verse 2]
Boy, you can put me on you like a brand-new white tee
I'll hug your body tighter than my favorite jeans
I want you to caress me like a tropical breeze
And float away with you in the Caribbean Sea

[Pre-Chorus]
If there's a camera up in here
Then it's gon' leave with me when I do, I do
If there's a camera up in here
Then I best not catch this flick on YouTube, YouTube
'Cause if you run your mouth and brag about this secret rendezvous
I will hunt you down
'Cause they be all up in my business like a Wendy interview
But this is private, 'tween you and I

[Chorus]
Touch my body, put me on the floor
Wrestle me around, play with me some more
Touch my body, throw me on the bed
I just wanna make you feel like you never did
Touch my body, let me wrap my thighs
All around your waist, just a little taste
Touch my body, know you like my curves
Come on and give me what I deserve
And touch my body


[Bridge]
I'ma treat you like a teddy bear
You won't wanna go nowhere
In the lap of luxury
Laying intertwined with me (La-la-la-la-da-da-da)
You won't want for nothing, boy (No)
I will give you plenty joy (Touch my body)

[Chorus]
Touch my body, put me on the floor (Throw me on the floor)
Wrestle me around, play with me some more (Ooh, touch my body)
Touch my body, throw me on the bed
I just wanna make you feel like you never did
Touch my body, let me wrap my thighs (Let me wrap my thighs)
All around your waist, just a little taste (Around your waist for just a little taste)
Touch my body, know you like my curves (I know you like it)
Come on and give me what I deserve (Give me what I deserve, babe)
And touch my body

[Outro]
Oh yeah, oh yeah, oh yeah, oh yeah (Yeah, yeah)
Oh yeah, oh-oh-oh-oh (Touch my body)
Every little way you like to touch my body, baby
Oh yeah, oh yeah, oh yeah, oh yeah
Oh yeah, oh-oh-oh-oh (Just touch my body)
Eh, yeah, ooh-ooh, baby
Oh, ooh-ooh, touch my (Touch my body)
Oh, ooh, woah, woah
Come on and give me what I deserve (Touch my body)
Oh, ooh-ooh (Touch my body)",Touch My Body,Mariah Carey
Touch My Body,Mariah Carey,Touch My Body by Mariah Carey,"92 ContributorsWe Belong Together Lyrics[Intro]
Sweet love, yeah

[Verse 1]
I didn't mean it when I said I didn't love you so
I shoulda held on tight, I never shoulda let you go
I didn't know nothin', I was stupid, I was foolish
I was lyin' to myself
I couldn't have fathomed I would ever be without your love
Never imagined I'd be sitting here beside myself
Guess I didn't know you, guess I didn't know me
But I thought I knew everything I never felt

[Pre-Chorus]
The feelin' that I'm feelin' now that I don't hear your voice
Or have your touch and kiss your lips 'cause I don't have a choice
Oh, what I wouldn't give to have you lyin' by my side
Right here, 'cause, baby (We belong together)

[Chorus]
When you left, I lost a part of me (Together)
It's still so hard to believe
Come back, baby, please
(Come back, come back, come back, come back)
'Cause we belong together
Who else am I gon' lean on when times get rough? (Who else)
Who's gonna talk to me on the phone 'til the sun comes up? (Who else)
Who's gonna take your place? There ain't nobody better (Who else)
Oh, baby, baby, we belong together


[Verse 2]
I can't sleep at night when you are on my mind
Bobby Womack's on the radio
Singin' to me, ""If you think you're lonely now""
Wait a minute, this is too deep (Too deep)
I gotta change the station
So I turn the dial, tryna catch a break
And then I hear Babyface, ""I only think of you""
And it's breakin' my heart
I'm tryna keep it together, but I'm fallin' apart

[Pre-Chorus]
I'm feelin' all out of my element
Throwin' things, cryin'
Tryna figure out where the hell I went wrong
The pain reflected in this song
Ain't even half of what I'm feelin' inside
I need you, need you back in my life, baby (My life, my life)
(We belong together)

[Chorus]
When you left, I lost a part of me (Together)
It's still so hard to believe
Come back, baby, please
(Come back, come back, come back, come back)
'Cause we belong together
Who else am I gon' lean on when times get rough? (Who will?)
Who's gonna talk to me on the phone 'til the sun comes up? (Who will?)
Who's gonna take your place? There ain't nobody better (Who will?)
Oh, baby, baby, we belong together, baby
(We belong together) (Who will?)
[Post-Chorus]
When you left, I lost a part of me (Who will?)
It's still so hard to believe (Who will?)
Come back, baby, please
(Come back, come back, come back, come back)
'Cause we belong together
Who am I gonna lean on when times get rough? (Who will?)
Who's gon' talk to me 'til the sun comes up? (Who will?)
Who's gon' take your place? There ain't nobody better (Who will?)
Oh, baby, baby, we belong together

[Outro]
(Who will? Who will? Who will?)
We belong together",We Belong Together,Mariah Carey
Miss Independent,Ne-Yo,Miss Independent by Ne-Yo,"57 ContributorsTranslationsDeutschFrançaisSo Sick LyricsAlthough many believe this to be Ne-Yo’s début single, it was in fact his second single released prior to his debut album In My Own Words, and was his breakthrough in to the mainstream as a solo artist as the… Read More [Intro]
Mmm, mmm, yeah
Do, do, do, do, do, do, do-do
Ooh, yeah

[Verse 1]
Gotta change my answering machine
Now that I'm alone
'Cause right now it says that we
Can't come to the phone
And I know it makes no sense
'Cause you walked out the door
But it's the only way I hear your voice anymore

[Pre-Chorus]
(It's ridiculous)
It's been months
And for some reason I just (Can't get over us)
And I'm stronger than this, yeah (Enough is enough)
No more walking 'round with my head down (Yeah)
I'm so over being blue
Cryin' over you

[Chorus]
And I'm so sick of love songs, so tired of tears
So done with wishin' you were still here
Said I'm so sick of love songs, so sad and slow
So why can't I turn off the radio?


[Verse 2]
Gotta fix that calendar I have
That's marked July 15th
Because since there's no more you
There's no more anniversary
I'm so fed up with my thoughts of you
And your memory
And how every song reminds me of what used to be
That's the reason

[Chorus]
I'm so sick of love songs, so tired of tears
So done with wishin' you were still here
Said I'm so sick of love songs, so sad and slow
So why can't I turn off the radio?

[Bridge]
(Oh, leave me alone) Leave me alone
(Stupid love songs) Oh-oh, hey
Don't make me think about her smile
Or having my first child
I'm letting go
Turning off the radio

[Chorus]
'Cause I'm so sick of love songs (Hey), so tired of tears (So tired of tears)
So done with wishin' she were still here (Oh)
Said I'm so sick of love songs, so sad and slow (Ooh, oh)
So why can't I turn off the radio? (Why can't I turn off the radio?)
And I'm so sick of love songs, so tired of tears (So tired of tears)
So done with wishing she were still here
Said I'm so sick of love songs, so sad and slow (Hey)
Why can't I turn off the radio? (Why can't I turn off the radio?)
And I'm so sick of love songs (So sick of love songs)
So tired of tears (And I'm so sick, so sick of love song)
So done with wishing you were still here
(And I'm so sick, so sick of love songs)
Said I'm so sick of love songs, so sad and slow (Hey)
So why can't I turn off the radio?


[Outro]
Why can't I turn off the radio?
Why can't I turn off the radio?",So Sick,Ne-Yo
U Got It Bad,USHER,U Got It Bad by USHER,"39 ContributorsTranslationsDeutschU Remind Me Lyrics[Intro]
Yo, I ain't seen you in a minute
But I got somethin' to tell you
Listen

[Verse 1]
See, the thing about you that caught my eye
Is the same thing that makes me change my mind
Kinda hard to explain, but girl, I'll try
You need to sit down, this may take a while
See, this girl, she sort of looks just like you
She even smiles just the way you do
So innocent, she seemed, but I was fooled
I'm reminded when I look at you

[Chorus]
But you remind me of a girl that I once knew (Oh, oh)
See her face whenever I, I look at you (Whenever I look, I look)
You won't believe all of the things she put me through (Won't believe, won't believe, won't believe it, baby, uh, oh no, no)
This is why I just can't get with you

[Verse 2]
Thought that she was the one for me
'Til I found out she was on her creep
Ooh, she was sexin' everyone, but me
This is why we could never be


[Chorus]
You remind me of a girl that I once knew (No, no no no, no, ah yeah)
See her face whenever I, I look at you (Have a bad look, I look at you)
You won't believe all of the things she put me through (She put me through, yeah)
This is why I just can't get with you (Uh)

[Bridge]
(I know, yeah)
I know it's so unfair to you (Ha! It's so unfair)
That I relate her ignorance to you (Whoa, oh I)
Wish I knew (Wish I knew how to separate the two)
You remind me (You remind me)
Whoa, whoa, oh-oh-oh, oh-oh-oh-ah, oh...

[Chorus]
You remind me of a girl that I once knew
See her face whenever I, I look at you (Gotta let you go)
You won't believe all of the things she put me through (Said I had, huh)
This is why I just can't get with you (Gotta let you go)
You remind me of a girl that I once knew (You remind me, of a girl, hey)
See her face whenever I, I look at you (Hey! Oh! Oh! You wouldn't believe it)
You won't believe all of the things she put me through (All the shit she put me through)
This is why I just can't get with you (No no)
You remind me of a girl that I once knew (You remind me of a girl that, that I once knew, oh no no)
See her face whenever I, I look at you (Oh no, no, no, no)
You won't believe all of the things she put me through
This is why I just can't get with you (You wouldn't believe [?])
You remind me of a girl that I once knew (Uh, baby I'm sorry, I gotta let you go, oh whoa, no)
See her face whenever I, I look at you (Baby I'm sorry, I gotta let you go, no, no, no)
You won't believe all of the things she put me through (Oh no, oh no)
This is why I just can't get with you (You remind me)
You remind me of a girl that I once knew (Of a girl that I once knew, yeah, yeah, yeah)
See her face whenever I, I look at you
You won't believe all of the things she put me through (All the things she put me, me through, yeah)
This is why I just can't get with you


[Outro]
You remind me of a girl that I once knew
See her face whenever I, I look at you
Wouldn't believe all of the things she put me through
This is why I just can't get with you",U Remind Me,Usher
Burn,USHER,Burn by USHER,"42 ContributorsTranslationsPortuguêsConfessions Part II Lyrics[Intro]
Watch this

[Chorus]
These are my confessions
Just when I thought I said all I could say
My chick on the side said she got one on the way
These are my confessions
Man, I'm throwed and I don't know what to do
I guess I gotta give part two of my confessions
If I'm gonna tell it, then I gotta tell it all (All)
Damn near cried when I got that phone call
I'm so throwed, I don't know what to do
But to give you part two of my confessions

[Verse 1]
Now, this gon' be the hardest thing I think I ever had to do
Got me talking to myself, asking how I'm gon' tell you
'Bout that chick on part one I told y'all I was creepin' with, creepin' with
Said she's three months pregnant and she's keepin' it
The first thing that came to mind was you
Second thing was how do I know if it's mine and is it true?
Third thing was me wishing that I never did what I did
How I ain't ready for no kid and bye bye to our relationship

[Chorus]
These are my confessions
Just when I thought I said all I could say (Oh, oh)
My chick on the side said she got one on the way (Yeah, yeah)
These are my confessions
Man, I'm throwed and I don't know what to do (No)
I guess I gotta give you part two of my confessions (This is part two, oh, oh)
If I'm gonna tell it, then I gotta tell it all (Tell it all)
Damn near cried when I got that phone call
I'm so throwed, I don't know what to do (I don't know, I don't know)
But to give you part two of my confessions


[Verse 2]
Sitting here, stuck on stupid, tryin' to figure out
When, what, and how I'ma let this come out of my mouth
Said it ain't gon' be easy
But I need to stop thinkin', contemplatin'
Be a man and get it over with, over with
I'm riding in my whip, racin' to her place
Talking to myself, preparin' to tell her to her face
She open up the door and didn't wanna come near me
I said, ""One second, baby, please hear me""

[Chorus]
These are my confessions
Just when I thought I said all I could say (Oh)
My chick on the side said she got one on the way (Chick on the side, oh, I)
These are my confessions
Man, I'm throwed (So gone, so gone) and I don't know what to do
(What to do) I guess I gotta give you part two of my confessions
If I'm gonna tell it, then I gotta tell it all
Damn near cried when I got that phone call (Cried, when I got it)
I'm so throwed, I don't know what to do (Didn't know what to do)
But to give you part two of my confessions (But I need to tell you, baby)

[Interlude]
This by far is the hardest thing I think I've ever had to do
To tell you, the woman I love
That I'm havin' a baby by a woman that I barely even know
I hope you can accept the fact that I'm man enough to tell you this
And hopefully you'll give me another chance
This ain't about my career
This ain't about my life
It's about us
Please


[Chorus]
These are my confessions
Just when I thought I said all I could say
My chick on the side said she got one on the way
These are my confessions
Man, I'm throwed and I don't know what to do
I guess I gotta give part two of my confessions
If I'm gonna tell it, then I gotta tell it all (All)
Damn near cried when I got that phone call
I'm so throwed, I don't know what to do
But to give part two of my confessions",Confessions Part II,Usher
End Of The Road,Boyz II Men,End Of The Road by Boyz II Men,"26 ContributorsI’ll Make Love to You Lyrics[Verse 1: Nathan Morris]
Close your eyes, make a wish
And blow out the candlelight
For tonight is just your night
We're gonna celebrate (Mm), all through the night

[Verse 2: Shawn Stockman]
Pour the wine, light the fire
Girl, your wish is my command
I submit to your demands
I will do anything, girl, you need only ask

[Chorus: Boyz II Men]
I'll make love to you
Like you want me to
And I'll hold you tight
Baby, all through the night
I'll make love to you
When you want me to
And I will not let go
'Til you tell me to

[Verse 3: Wanyá Morris]
Girl, relax, let's go slow
I ain't got nowhere to go
I'm just gonna concentrate on you
Girl, are you ready? (Whoa)
It's gonna be a long night
Throw your clothes (Throw your clothes)
On the floor (On the floor)


[Verse 4: Shawn Stockman & Wanyá Morris]
I'm gonna take my clothes off (Mm) too
I've made plans to be within you
Girl, whatever you ask me, you know I could do

[Chorus: Boyz II Men]
I'll make love to you (Baby, oh)
Like you want me to (Ooh)
And I'll hold you tight (Hold you tight)
Baby, all through the night
I'll make love to you
When you want me to (Hey, yeah)
And I will not let go
'Til you tell me to

[Bridge: Wanyá Morris]
Baby, tonight is your night
And I will do you right
Just make a wish on your night
Anything that you ask
I will give you the love of your life, your life, your life

[Chorus: Boyz II Men]
I'll make love to you (I'll make love)
Like you want me to
And I'll hold you tight (Hold you tight)
Baby, all through the night
I'll make love to you (I'll make love)
When you want me to
And I will not let go (Will not let go 'til you)
'Til you tell me to (Tell me to)
I'll make love to you  (I'll make love)
Like you want me to
And I'll hold you tight (Hold you tight)
Baby, all through the night
I'll make love to you (I'll make love)
When you want me to
And I will not let go (Will not let go 'til you)
'Til you tell me to (Tell me too, tell me, baby)",I'll Make Love to You,Boyz II Men
You Know How We Do It,Ice Cube,You Know How We Do It by Ice Cube,"107 ContributorsTranslationsPortuguêsDo For Love LyricsThis song is the perfect Song of how LOVE can lead you blind & the strength of it. Look here’s how the story goes (Told By Lil Mace)…

The first verse is him talking to his girl about how he never even meant… Read More [Intro: 2Pac]
Turn it up loud
Hahaha, ahahaha, hey, man
You a little sucker for love, Pac!
Word up, hahahahaha (A sucker for love)

[Verse 1: 2Pac]
I should've seen you was trouble right from the start, taught me so many lessons
How not to mess with broken hearts, so many questions
When this began, we was the perfect match, perhaps
We had some problems, but we workin' at it, and now
The arguments are gettin' loud, I wanna stay
But I can't help from walkin' out, just throw it away
Just take my hand and understand if you could see
I never planned to be your man, it just wasn't me
But now I'm searchin' for commitment, in other arms
I wanna shelter you from harm, don't be alarmed
Your attitude was the cause, you got me stressin'
Soon as I opened up the door with your jealous questions
Like, where can I be? You're killin' me with your jealousy
Now my ambition's to be free
I can't breathe, 'cause soon as I leave, it's like a trap
I hear you callin' me to come back, I'm a sucker for love

[Chorus: Eric Williams & 2Pac]
What you won't do, do for love? (That's right, sucker for love)
You tried everything, but you don't give up (Sucker for love)
What you won't do, do for love?
You tried everything, but you don't give up


[Verse 2: 2Pac]
Just when I thought I broke away and I'm feelin' happy, you tried to trap me
Said you're pregnant and guess who the daddy? Don't wanna fall for it
But in this case what could I do? So now I'm back
To makin' promises to you, tryna keep it true
What if I'm wrong? A trick to keep me holdin' on
Tryna be strong and in the process, keep it goin'
I'm 'bout to lose my composure, I'm gettin' close
To packin' up and leavin' notes, and gettin' ghost
Tell me who knows a peaceful place where I can go
To clear my head, I'm feelin' low, losin' control
My heart is sayin', ""Leave!"" Oh, what a tangled web we weave
When we conspire to conceive, and now
You gettin' calls at the house, guess you cheatin'
That's all I need to hear, 'cause I'm leavin', I'm out the door
Never no more you will see me, this is the end
'Cause now I know you've been cheatin', I'm a sucker for love
[Chorus: Eric Williams & 2Pac]
What you won't do, do for love? (Sucker for love)
You tried everything, but you don't give up (Don't, sucker for love)
What you won't do, do for love? (Oh, yeah, sucker for love)
You tried everything, but you don't give up (Oh, baby)

[Verse 3: 2Pac]
Now he left you with scars, tears on your pillow and you still stay
As you sit and pray, hopin' the beatings'll go away
It wasn't always a hit-and-run relationship
It used to be love, happiness and companionship
Remember when I treated you good
I moved you up to the hills, out the ills of the ghetto hood
Me and you, a happy home, when it was on
I had a love to call my own
I should've seen you was trouble but I was lost, trapped in your eyes
Preoccupied with gettin' tossed, no need to lie
You had a man and I knew it, you told me
Don't worry 'bout it, we can do it now, I'm under pressure
Make a decision 'cause I'm waitin', when I'm alone
I'm on the phone havin' secret conversations, huh
I wanna take your misery
Replace it with happiness but I need your faith in me, I'm a sucker for love


[Chorus: Eric Williams & 2Pac]
What you won't do, do for love? (What you won't do for love, sucker for love)
You tried everything, but you don't give up (That ain't right, I'm a sucker for love)
What you won't do, do for love?
You tried everything, but you don't give up (No)

[Outro: Eric Williams & 2Pac]
What you won't do, do for love? (Sucker for love)
You tried everything, but you don't give up (Sucker for love)
What you won't do, do for love? (Sucker for love)
You tried everything, but you don't give up (Sucker for love)
What you won't do? (Do for love)
You tried everything, but you don't give up
What you won't do? (Do for love)
You tried everything, but you don't give up
Do for love, yeah, baby, yeah
Do for love",Do for Love,2Pac
